2022-05-16T06:34:31-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error OTA_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND prod-gateway.wdckeystone.com prod-gateway.wdckeystone.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND prod-gateway.wdckeystone.com prod-gateway.wdckeystone.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"prod-gateway.wdckeystone.com","host":"prod-gateway.wdckeystone.com","port":443,"CorrelationId":"4b4f6c9a-6ccb-4fdf-b75d-a1d5a4afb04f","isConnectionError":true,"RequestInfo":{"url":"https://prod-gateway.wdckeystone.com/ota/ota/v1/version/deviceId/c1495128-b7d7-4c1d-ab05-61d9583d2a00","method":"POST"}}
2022-05-16T06:34:31-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error NOTIFICATION_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND prod.wdckeystone.com prod.wdckeystone.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND prod.wdckeystone.com prod.wdckeystone.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"prod.wdckeystone.com","host":"prod.wdckeystone.com","port":443,"CorrelationId":"3eb68445-d136-48ad-9818-ad78426e3e86","isConnectionError":true,"RequestInfo":{"url":"https://prod.wdckeystone.com/v1/notification?osFamily=WINDOWS_x64&discoveryVersion=4.3.327&country=US&portalType=wd","method":"GET"}}
2022-05-16T06:34:31-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error PLUGIN_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND prod.wdckeystone.com prod.wdckeystone.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND prod.wdckeystone.com prod.wdckeystone.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"prod.wdckeystone.com","host":"prod.wdckeystone.com","port":443,"CorrelationId":"6d5b95d0-612e-4c8d-a5ad-a898094348f4","isConnectionError":true,"RequestInfo":{"url":"https://prod.wdckeystone.com/plugins/v1/plugins?osFamily=WINDOWS_x64&discoveryVersion=4.3.327&portalType=wd","method":"GET"}}
2022-05-16T06:34:46-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error CONFIG_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"config.mycloud.com","host":"config.mycloud.com","port":443,"CorrelationId":"4aec7869-71cc-4ddf-84d9-383428f180ee","isConnectionError":true,"RequestInfo":{"url":"https://config.mycloud.com/config/v1/config","method":"GET"}}
2022-05-16T06:35:01-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error CONFIG_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"config.mycloud.com","host":"config.mycloud.com","port":443,"CorrelationId":"f33ad0f4-12a5-4540-ba83-b8d08b087b87","isConnectionError":true,"RequestInfo":{"url":"https://config.mycloud.com/config/v1/config","method":"GET"}}
2022-05-16T06:35:13-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error KAMINO: {"statusCode":404,"body":{"key":"notFound","message":"Not Found"},"url":"http://127.0.0.1:49855/kdd/v1/user/status"}
2022-05-16T06:35:27-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error CONFIG_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"config.mycloud.com","host":"config.mycloud.com","port":443,"CorrelationId":"ee5e5ee1-7175-40b1-a304-a355ff14c0c3","isConnectionError":true,"RequestInfo":{"url":"https://config.mycloud.com/config/v1/config","method":"GET"}}
2022-05-16T06:35:42-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error CONFIG_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"config.mycloud.com","host":"config.mycloud.com","port":443,"CorrelationId":"69944b55-d194-4c3c-82b6-d58f9e41c18d","isConnectionError":true,"RequestInfo":{"url":"https://config.mycloud.com/config/v1/config","method":"GET"}}
2022-05-16T06:35:57-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error CONFIG_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"config.mycloud.com","host":"config.mycloud.com","port":443,"CorrelationId":"797a4e3c-32ad-4c00-b02c-c008176f06d8","isConnectionError":true,"RequestInfo":{"url":"https://config.mycloud.com/config/v1/config","method":"GET"}}
2022-05-16T06:36:12-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error CONFIG_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND config.mycloud.com config.mycloud.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"config.mycloud.com","host":"config.mycloud.com","port":443,"CorrelationId":"c1a24c61-eec6-4b8f-9f8e-3b7d52bdc3eb","isConnectionError":true,"RequestInfo":{"url":"https://config.mycloud.com/config/v1/config","method":"GET"}}
