2021-01-23T09:46:53-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error WD_SERVICE: REQUEST ERROR: {"stack":"Error: socket hang up\n    at createHangUpError (_http_client.js:322:15)\n    at Socket.socketCloseListener (_http_client.js:363:25)\n    at Socket.emit (events.js:187:15)\n    at TCP._handle.close (net.js:606:12)","message":"socket hang up","code":"ECONNRESET"}
2021-01-23T09:46:55-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error WD_SERVICE: REQUEST ERROR: {"stack":"Error: read ECONNRESET\n    at TCP.onStreamRead (internal/stream_base_commons.js:111:27)","message":"read ECONNRESET","errno":"ECONNRESET","code":"ECONNRESET","syscall":"read"}
2021-01-23T09:46:59-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error WD_SERVICE: REQUEST ERROR: {"stack":"Error: connect ECONNREFUSED 127.0.0.1:50001\n    at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1113:14)","message":"connect ECONNREFUSED 127.0.0.1:50001","errno":"ECONNREFUSED","code":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":50001}
2021-01-23T09:47:04-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error WD_SERVICE: REQUEST ERROR: {"stack":"Error: connect ECONNREFUSED 127.0.0.1:50001\n    at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1113:14)","message":"connect ECONNREFUSED 127.0.0.1:50001","errno":"ECONNREFUSED","code":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":50001}
2021-01-23T09:47:07-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error 2100 in com.wdc.plugin.catalog: {"message":"Timeout! 15 seconds expired","additionalData":{"version":"1.0.229"}}
2021-01-23T09:47:19-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error KAMINO: {"statusCode":404,"body":{"key":"notFound","message":"Not Found"},"url":"http://127.0.0.1:60430/kdd/v1/user/status"}
2021-01-23T09:47:27-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.paragon","version":"11.1.34","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:27-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.driveutility","version":"2.0.0.71","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:27-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.security","version":"2.0.0.76","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:29-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.paragon","version":"11.1.34","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:29-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.driveutility","version":"2.0.0.71","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:29-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.security","version":"2.0.0.76","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:29-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.paragon","version":"11.1.34","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:29-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.driveutility","version":"2.0.0.71","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
2021-01-23T09:47:29-05:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.security","version":"2.0.0.76","discoveryVersion":"4.1.270","osFamily":"WINDOWS_x64"}
